period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Vrijetijds- en artistieke beroepen,"Medewerkers bij toerisme, vrije tijd en sport",1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Drukkers,0
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,0
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bouwberoepen,Bouwvakkers,8463
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bouwberoepen,Bouwtechnici,1596
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Industriële technici,1222
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,1147
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,759
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,667
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Professionals in de metaalindustrie,486
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bouwberoepen,Machinisten en kraanmannen,405
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Transport- en logistieke beroepen,Bestuurders in het wegtransport,319
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Transport- en logistieke beroepen,Transport- en logistiek personeel,314
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Medewerkers houtindustrie,258
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",210
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Handels- en verkoopberoepen,Vertegenwoordigers,185
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Technisch leidinggevenden,171
