rank,period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file,share_pct
129,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Content marketeer,13,vacatures_202604_all.xlsx,0.1
130,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Digital sales assistant,13,vacatures_202604_all.xlsx,0.1
131,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Milieucoördinator,13,vacatures_202604_all.xlsx,0.1
132,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Drukkers,Operator print & sign,13,vacatures_202604_all.xlsx,0.1
133,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,Data engineer,12,vacatures_202604_all.xlsx,0.1
134,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Medewerker tuinbouw,12,vacatures_202604_all.xlsx,0.1
135,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Onderhoudsmecanicien van personenwagens en lichte bedrijfsvoertuigen,12,vacatures_202604_all.xlsx,0.1
136,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Horecaberoepen,Horecapersoneel,Hulpkok,12,vacatures_202604_all.xlsx,0.1
137,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Verantwoordelijke tuin- en groenaanleg en -onderhoud,12,vacatures_202604_all.xlsx,0.1
138,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Technisch leidinggevenden,Teamleader productie,12,vacatures_202604_all.xlsx,0.1
139,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,Onthaalmedewerker,11,vacatures_202604_all.xlsx,0.1
140,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Business analist,11,vacatures_202604_all.xlsx,0.1
141,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Machinebouwer,11,vacatures_202604_all.xlsx,0.1
142,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Isoleerder ruwbouw en dak,11,vacatures_202604_all.xlsx,0.1
143,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Verantwoordelijke logistieke site,10,vacatures_202604_all.xlsx,0.1
144,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Natuursteenbewerker,10,vacatures_202604_all.xlsx,0.1
