period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,"Productieoperator van stortbeton, cement, asfalt en granulaten",19,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Regelaar-afsteller van productie-installaties,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Sorteerder recyclage,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Uitvoerder van werken op hoogte,35,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Verpakker,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Verpakkingsoperator,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Drukkers,Digitaal drukker,4,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Drukkers,Operator print & sign,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Expert productieproces en -methodes,16,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Industrieel elektromecanicien,842,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Industrieel laborant,5,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Industrieel onderhoudstechnicus,314,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Koeltechnicus,83,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Lifttechnicus,32,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Medewerker kwaliteitscontrole,10,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Onderhoudstechnicus industriële automatisering,38,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Onderhoudstechnicus waterdistributie en sanering,5,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Ontwerper industriële automatisering,11,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Productieplanner,88,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Regeltechnicus klimatisatie,184,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Technicus elektro en elektronica,48,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Technicus elektronische installaties,77,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Werkvoorbereider,55,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Machinaal houtbewerker,6,vacatures_201712_all.xlsx
