y,q,lvl,nis,type,n,p50,p25,p75,name
2010,1,5,13049,huizen_4plus,12.0,,,,WESTERLO
2010,1,5,13053,alle_huizen,27.0,178000.0,158000.0,205000.0,LAAKDAL
2010,1,5,13053,appartementen,2.0,,,,LAAKDAL
2010,1,5,13053,huizen_23,7.0,,,,LAAKDAL
2010,1,5,13053,huizen_4plus,20.0,192500.0,165500.0,227500.0,LAAKDAL
2010,1,5,21001,alle_huizen,47.0,225000.0,180000.0,295000.0,ANDERLECHT
2010,1,5,21001,appartementen,124.0,130000.0,105000.0,155000.0,ANDERLECHT
2010,1,5,21001,huizen_23,47.0,225000.0,180000.0,295000.0,ANDERLECHT
2010,1,5,21001,huizen_4plus,0.0,,,,ANDERLECHT
2010,1,5,21002,alle_huizen,32.0,347500.0,272500.0,445000.0,OUDERGEM
2010,1,5,21002,appartementen,53.0,175000.0,135000.0,235000.0,OUDERGEM
2010,1,5,21002,huizen_23,30.0,327500.0,270000.0,440000.0,OUDERGEM
2010,1,5,21002,huizen_4plus,2.0,,,,OUDERGEM
2010,1,5,21003,alle_huizen,19.0,255000.0,230000.0,302500.0,SINT-AGATHA-BERCHEM
2010,1,5,21003,appartementen,32.0,132500.0,115750.0,177500.0,SINT-AGATHA-BERCHEM
2010,1,5,21003,huizen_23,18.0,252500.0,230000.0,301000.0,SINT-AGATHA-BERCHEM
2010,1,5,21003,huizen_4plus,1.0,,,,SINT-AGATHA-BERCHEM
2010,1,5,21004,alle_huizen,54.0,255000.0,200000.0,315000.0,BRUSSEL
2010,1,5,21004,appartementen,234.0,160000.0,120000.0,235000.0,BRUSSEL
2010,1,5,21004,huizen_23,54.0,255000.0,200000.0,315000.0,BRUSSEL
2010,1,5,21004,huizen_4plus,0.0,,,,BRUSSEL
2010,1,5,21005,alle_huizen,20.0,346250.0,247500.0,577500.0,ETTERBEEK
2010,1,5,21005,appartementen,119.0,186500.0,130000.0,290000.0,ETTERBEEK
2010,1,5,21005,huizen_23,20.0,346250.0,247500.0,577500.0,ETTERBEEK
2010,1,5,21005,huizen_4plus,0.0,,,,ETTERBEEK
2010,1,5,21006,alle_huizen,15.0,,,,EVERE
2010,1,5,21006,appartementen,59.0,157000.0,127500.0,192500.0,EVERE
2010,1,5,21006,huizen_23,15.0,,,,EVERE
2010,1,5,21006,huizen_4plus,0.0,,,,EVERE
2010,1,5,21007,alle_huizen,17.0,360000.0,330000.0,490000.0,VORST
2010,1,5,21007,appartementen,82.0,160000.0,120000.0,232000.0,VORST
2010,1,5,21007,huizen_23,17.0,360000.0,330000.0,490000.0,VORST
