year,ratio_code,ratio_label_nl,sector_code,sector_label_nl,sector_short_label,value
2014,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,5.22
2015,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,5.05
2016,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,4.05
2017,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,4.09
2018,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,3.44
2019,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,4.05
2020,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,3.73
2021,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,8.04
2022,R002,2. Nettoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,4.69
2009,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,1.63
2010,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.39
2011,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.08
2012,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,1.86
2013,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,1.95
2014,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,1.99
2015,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.35
2016,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.46
2017,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.48
2018,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.25
2019,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.32
2020,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.15
2021,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.54
2022,R002,2. Nettoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,2.7
2009,R002,2. Nettoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,1.34
2010,R002,2. Nettoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,2.56
