CD_REFNIS,CD_SUP_REFNIS,TX_REFNIS_NL,Huizen_totaal_2025,Appartementen_2025,Woningen_Nieuwbouw_2019sep-2022aug,Woningen_Nieuwbouw_2022sep-2025aug,Woningen_Nieuwbouw_pct_verschil_36m,Gebouwen_Renovatie_2019sep-2022aug,Gebouwen_Renovatie_2022sep-2025aug,Gebouwen_Renovatie_pct_verschil_36m,HH_available,hh_1_2025,hh_2_2025,hh_3_2025,hh_4+_2025,hh_1_pct_toename,hh_2_pct_toename,hh_3_pct_toename,hh_4+_pct_toename,hh_1_abs_toename,hh_2_abs_toename,hh_3_abs_toename,hh_4+_abs_toename
37002,37000,Dentergem,3396,243,156.0,243.0,55.77,94.0,68.0,-27.66,True,946.0,1290.0,566.0,771.0,12.79,11.09,2.47,7.52,121.0,143.0,14.0,58.0
37010,37000,Oostrozebeke,3067,736,126.0,50.0,-60.32,84.0,57.0,-32.14,True,1015.0,1245.0,502.0,695.0,27.49,-1.45,-1.2,6.19,279.0,-18.0,-6.0,43.0
37011,37000,Pittem,2705,350,136.0,114.0,-16.18,49.0,45.0,-8.16,True,754.0,1089.0,434.0,565.0,1.06,1.74,-5.3,2.12,8.0,19.0,-23.0,12.0
37017,37000,Wielsbeke,3878,458,200.0,237.0,18.5,79.0,93.0,17.72,True,1138.0,1402.0,676.0,939.0,18.54,10.91,-1.33,-0.64,211.0,153.0,-9.0,-6.0
37020,37000,Ardooie,3840,491,339.0,243.0,-28.32,84.0,57.0,-32.14,True,1244.0,1496.0,512.0,777.0,4.42,-5.01,12.7,4.38,55.0,-75.0,65.0,34.0
11001,11000,Aartselaar,4393,2175,213.0,81.0,-61.97,122.0,126.0,3.28,True,1792.0,2409.0,857.0,1221.0,8.54,-2.91,5.13,7.45,153.0,-70.0,44.0,91.0
11002,11000,Antwerpen,104409,170219,4444.0,4540.0,2.16,3251.0,2961.0,-8.92,True,108934.0,62248.0,27298.0,45945.0,4.86,6.5,15.91,2.88,5289.0,4045.0,4342.0,1325.0
11004,11000,Boechout,3960,2054,262.0,156.0,-40.46,148.0,121.0,-18.24,True,1789.0,2044.0,825.0,1226.0,9.95,8.66,13.82,12.72,178.0,177.0,114.0,156.0
11005,11000,Boom,4942,3589,342.0,154.0,-54.97,120.0,82.0,-31.67,True,2783.0,2379.0,1028.0,1781.0,7.69,3.78,26.26,16.06,214.0,90.0,270.0,286.0
11008,11000,Brasschaat,11503,6120,381.0,409.0,7.35,411.0,330.0,-19.71,True,5301.0,6068.0,2325.0,3150.0,8.26,-6.05,7.78,16.38,438.0,-367.0,181.0,516.0
11009,11000,Brecht,10176,2447,452.0,465.0,2.88,208.0,169.0,-18.75,True,3329.0,4931.0,1865.0,2647.0,14.81,9.51,9.01,7.97,493.0,469.0,168.0,211.0
11013,11000,Edegem,6102,4759,1010.0,210.0,-79.21,255.0,309.0,21.18,True,3503.0,3329.0,1221.0,2001.0,5.51,4.45,7.86,10.94,193.0,148.0,96.0,219.0
11016,11000,Essen,6523,1587,271.0,196.0,-27.68,127.0,138.0,8.66,True,2264.0,2972.0,1180.0,1773.0,14.58,2.22,5.17,1.47,330.0,66.0,61.0,26.0
11018,11000,Hemiksem,3513,1669,134.0,99.0,-26.12,100.0,90.0,-10.0,True,1463.0,1742.0,757.0,1151.0,18.73,12.57,16.78,13.29,274.0,219.0,127.0,153.0
11021,11000,Hove (Antwerpen),2873,689,79.0,50.0,-36.71,143.0,105.0,-26.57,True,931.0,1235.0,488.0,790.0,-1.93,-1.62,4.92,7.22,-18.0,-20.0,24.0,57.0
11022,11000,Kalmthout,6594,1902,457.0,324.0,-29.1,194.0,170.0,-12.37,True,2360.0,3029.0,1077.0,1780.0,12.84,4.59,15.88,12.3,303.0,139.0,171.0,219.0
11023,11000,Kapellen (Antwerpen),9172,3054,424.0,268.0,-36.79,282.0,231.0,-18.09,True,3513.0,4380.0,1690.0,2346.0,11.61,6.76,0.24,12.49,408.0,296.0,4.0,293.0
11024,11000,Kontich,6792,2746,267.0,199.0,-25.47,220.0,182.0,-17.27,True,2694.0,3298.0,1233.0,1974.0,11.95,-1.67,7.06,8.16,322.0,-55.0,87.0,161.0
